回答者ID,座標1,座標2,purpose,material,style,perplexity,random_state
P36,2.250769,-2.2402568,chat,fabric,soft,30,42
P37,2.250769,-2.2402568,chat,fabric,soft,30,42
P38,2.250769,-2.2402568,chat,fabric,soft,30,42
P39,2.250769,-2.2402568,chat,fabric,soft,30,42
P40,2.250769,-2.2402568,chat,fabric,soft,30,42
P41,2.250769,-2.2402568,chat,fabric,soft,30,42
P42,2.250769,-2.2402568,chat,fabric,soft,30,42
P43,-0.11576721,-2.185277,reading,wood,soft,30,42
P44,-0.11576726,-2.185277,reading,wood,soft,30,42
P45,-0.11576712,-2.185277,reading,wood,soft,30,42
P46,-0.07351453,-3.4815855,reading,fabric,natural,30,42
P47,-0.07351451,-3.4815855,reading,fabric,natural,30,42
P48,-0.4781141,0.08341391,work,steel,natural,30,42
P49,-0.4781141,0.08341391,work,steel,natural,30,42
P50,-1.4796644,0.82351047,work,wood,sharp,30,42
P51,-1.4796644,0.82351047,work,wood,sharp,30,42
P52,1.7162575,-3.3182433,chat,fabric,natural,30,42
P53,1.7162575,-3.3182433,chat,fabric,natural,30,42
P54,1.7162573,-3.3182433,chat,fabric,natural,30,42
P55,1.3995985,-1.5907747,chat,wood,soft,30,42
P56,1.3995985,-1.5907747,chat,wood,soft,30,42
P57,-1.4889175,-1.8610734,reading,steel,natural,30,42
P58,-1.2402586,1.472214,work,fabric,sharp,30,42
P59,2.1364942,-1.3656735,chat,steel,soft,30,42
P60,1.1417828,-2.4899964,reading,fabric,soft,30,42
P01,1.8048038,5.8199883,reading,wood,natural,15,7
P02,1.8734076,5.959477,reading,wood,natural,15,7
P03,1.7285182,6.4245744,reading,wood,natural,15,7
P04,1.6635768,5.6990395,reading,wood,natural,15,7
P05,1.0559936,6.034386,reading,wood,natural,15,7
P06,1.2832873,6.4690676,reading,wood,natural,15,7
P07,1.1442019,6.3517494,reading,wood,natural,15,7
P08,1.3482063,5.671894,reading,wood,natural,15,7
P09,1.213003,5.745388,reading,wood,natural,15,7
P10,1.6093218,6.492419,reading,wood,natural,15,7
P11,1.8416976,6.2827907,reading,wood,natural,15,7
P12,1.527868,5.6557245,reading,wood,natural,15,7
P13,1.0992751,5.887605,reading,wood,natural,15,7
P14,1.0732682,6.215158,reading,wood,natural,15,7
P15,1.8886303,6.114845,reading,wood,natural,15,7
P16,1.432232,6.5142136,reading,wood,natural,15,7
P17,-3.4819229,-8.913157,work,steel,sharp,15,7
P18,-3.7729976,-8.571874,work,steel,sharp,15,7
P19,-3.7329922,-8.734024,work,steel,sharp,15,7
P20,-3.1238835,-8.714381,work,steel,sharp,15,7
P21,-3.1170912,-8.407732,work,steel,sharp,15,7
P22,-3.3096552,-8.8918705,work,steel,sharp,15,7
P23,-3.252324,-8.861541,work,steel,sharp,15,7
P24,-3.7379048,-8.424388,work,steel,sharp,15,7
P25,-3.5664744,-8.26429,work,steel,sharp,15,7
P26,-3.1755445,-8.326941,work,steel,sharp,15,7
P27,-3.308364,-8.249099,work,steel,sharp,15,7
P28,-3.098271,-8.455728,work,steel,sharp,15,7
P29,-3.6304424,-8.852372,work,steel,sharp,15,7
P30,-3.6393528,-8.3066,work,steel,sharp,15,7
P31,9.245622,3.0898597,chat,fabric,soft,15,7
P32,9.121293,2.746052,chat,fabric,soft,15,7
P33,9.514962,2.7002013,chat,fabric,soft,15,7
P34,9.24562,3.089859,chat,fabric,soft,15,7
P35,9.515116,2.700364,chat,fabric,soft,15,7
P36,9.1210575,2.746435,chat,fabric,soft,15,7
P37,9.121061,2.7464297,chat,fabric,soft,15,7
P38,9.08992,2.8369856,chat,fabric,soft,15,7
P39,9.520901,3.0210576,chat,fabric,soft,15,7
P40,9.580693,2.8737307,chat,fabric,soft,15,7
P41,9.515116,2.700364,chat,fabric,soft,15,7
P42,9.380056,3.1012352,chat,fabric,soft,15,7
P43,4.141504,7.108766,reading,wood,soft,15,7
P44,4.141505,7.108766,reading,wood,soft,15,7
P45,4.1414876,7.108766,reading,wood,soft,15,7
P46,3.8036635,4.283678,reading,fabric,natural,15,7
P47,3.8036804,4.283679,reading,fabric,natural,15,7
P48,-3.4110208,-6.5422783,work,steel,natural,15,7
P49,-3.4110322,-6.542277,work,steel,natural,15,7
P50,-1.5679126,-9.251735,work,wood,sharp,15,7
P51,-1.5679475,-9.251733,work,wood,sharp,15,7
P52,7.2632704,3.6764352,chat,fabric,natural,15,7
P53,7.263211,3.6764355,chat,fabric,natural,15,7
P54,7.2632813,3.6764684,chat,fabric,natural,15,7
P55,8.414595,1.2602961,chat,wood,soft,15,7
P56,8.414605,1.2602619,chat,wood,soft,15,7
P57,-2.2749674,-2.3740857,reading,steel,natural,15,7
P58,0.81019944,-10.414958,work,fabric,sharp,15,7
P59,9.440825,1.6103499,chat,steel,soft,15,7
P60,7.7723045,7.478087,reading,fabric,soft,15,7
